YEAR,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST_Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,RAFGM,RAFGA,RAFG%,NRAFGM,NRAFGA,NRAFG%,MRFGM,MRFGA,MRFG%,LC3M,LC3A,LC3%,RC3M,RC3A,RC3%,C3M,C3A,C3%,ATB3M,ATB3A,ATB3%,ORAFGM,ORAFGA,ORAFG%,ONRAFGM,ONRAFGA,ONRAFG%,OMRFGM,OMRFGA,OMRFG%,OLC3M,OLC3A,OLC3%,ORC3M,ORC3A,ORC3%,OC3M,OC3A,OC3%,OATB3M,OATB3A,OATB3%
2022,Atlanta Hawks,82,43,39,0.524,48.1,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6,115.4,113.7,1.6,59.3,2.08,18.1,26.9,73.1,50.1,12,54.3,58.1,98.67,50.9,"8,099",15.9,24.8,64.1,6.9,16,43.3,5.8,13.1,44.1,1.8,3.8,46.6,1.7,4.3,38.6,3.4,8.1,42.4,9.4,26.1,36.1,17.6,26.7,66.1,6.4,14.7,43.3,5.1,12.5,40.9,1.7,4.4,37.9,1.6,4.2,38.7,3.3,8.5,38.3,9.5,26.4,36
2022,Boston Celtics,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,113.6,106.2,7.4,60.9,1.82,18.2,27.7,72.5,50.9,13.9,54.2,57.8,97.26,54.7,"8,068",16.7,24.1,69.6,6.5,15.5,42.1,4.3,10.8,39.5,1.7,4.7,35.1,1.9,4.3,44.9,3.6,9,39.8,9.6,28,34.5,13.9,21.4,65.1,7.3,18.5,39.7,5.2,13.4,38.9,1.5,4.1,38,1.3,3.8,34.6,2.9,7.9,36.4,8.9,26.8,33.4
2022,Brooklyn Nets,82,44,38,0.537,48.2,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8,113.2,112.3,0.9,60.2,1.8,18.3,28.1,70.4,49.9,14.1,54,57.6,99.4,51.2,"8,177",15.7,24.9,63.2,7.3,15.9,45.7,7.5,16,47.2,1.5,4,38.1,1.5,3.8,40.8,3.1,7.8,39.4,8.4,23.8,35.2,17.5,27.2,64.2,6.2,15.2,40.6,4.6,11.6,39.7,1.9,4.8,38.9,1.5,4.3,35.5,3.4,9.1,37.3,9.1,26.9,33.8
2022,Charlotte Hornets,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,113.6,113.1,0.5,65.6,2.12,19.6,27,70.6,48.6,13.1,54.4,57.2,100.52,50.4,"8,322",20.1,31,64.6,5.6,14.5,38.8,3.2,7.8,40.8,2.4,6.2,38.3,1.8,5,36.1,4.2,11.3,37.3,9.7,26.6,36.5,18,28,64.3,6,13.8,43.4,4,9.6,41.2,2.4,6,39.7,1.8,5.1,35.5,4.2,11,37.7,9.8,27.5,35.7
2022,Chicago Bulls,82,46,36,0.561,48.1,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5,18.8,18.2,-0.4,112.7,113.2,-0.5,57.2,1.86,17.8,24.9,73.5,49.5,13,54.1,57.9,98.76,49.6,"8,124",16.5,25.4,65.2,6.4,13.9,45.7,8.3,18.9,43.6,1.7,4.3,39.1,1.7,3.9,43.8,3.4,8.2,41.3,7.2,20.3,35.5,18.8,29.1,64.7,6,14.3,42.1,5,12.2,40.5,1.8,4.2,43.9,1.5,3.7,41,3.3,7.8,42.5,8.3,23.9,34.9
2022,Cleveland Cavaliers,82,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20,2.1,111,108.9,2.1,63.4,1.75,18.7,27.7,72.4,50.6,14.8,53.8,57.1,96.83,51.7,"7,964",18,26.9,66.7,6.2,15.4,40.5,3.9,9.6,40.5,1.5,4.2,35.3,1.3,3.8,33.2,2.7,8,34.3,8.9,24.6,36,17.1,28.3,60.5,6.2,14.5,42.9,4.5,11.4,39.6,1.9,4.9,38.4,1.7,4.5,37.4,3.5,9.4,37.9,8.1,23.6,34.4
2022,Dallas Mavericks,82,52,30,0.634,48.2,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,12.5,6.7,4,3.7,19.7,20.1,3.3,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13,53.8,57.2,95.64,51.1,"7,871",14.5,20.9,69.4,7,15.5,45.1,4.8,11.5,41.3,2.1,5.3,39.1,1.9,4.8,39.8,4,10.1,39.5,9.1,27,33.6,16.3,24.4,66.7,7.3,17,42.8,4.5,11.9,38,1.6,4.4,35.4,1.6,3.9,41.2,3.2,8.4,38.1,7.7,23.5,32.8
2022,Denver Nuggets,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20,19.9,2.3,113.8,111.5,2.3,66.7,1.92,20,26.8,75.2,51.5,14.6,55.6,59,98.41,51.6,"8,123",17.9,25.9,69.2,6.7,14.3,47.1,4.4,10.3,42.4,2.2,5.3,41.3,1.5,4.5,34.5,3.7,9.8,38.2,8.9,25.9,34.6,17.1,24.8,68.9,7.8,17.6,44.4,4.3,10.8,39.9,1.7,4.4,37.5,1.5,4,36.5,3.1,8.4,37,8.7,25.6,34
2022,Detroit Pistons,82,23,59,0.28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7,105.6,113.3,-7.7,61.5,1.65,17.1,27.6,70.7,48.1,14.3,49.4,53.3,98.81,45,"8,141",17,27.9,60.9,5.8,15.1,38.6,4.1,11,36.9,2,5.6,35.9,1.5,4.2,36.1,3.5,9.8,36,7.8,24.6,31.6,18,27.9,64.6,6.8,15.3,44.6,4.1,10.3,39.5,1.9,4.5,43.1,1.7,4.2,40.8,3.6,8.7,41.9,8.1,23.7,34.2
2022,Golden State Warriors,82,53,29,0.646,48.1,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21,18,5.5,112.1,106.6,5.5,66.9,1.82,19.5,26.9,73.6,51,15,55.2,58.2,98.74,53.6,"8,121",16.2,23.1,70,6.2,14,43.8,3.9,10,39.1,1.8,5,35.8,1.2,3.9,31.9,3,8.9,34.1,11.2,30.1,37.4,13.2,20.1,65.7,8.7,20.2,43,3.8,10.3,37,1.8,4.7,38.5,1.8,4.3,41,3.6,9.1,39.7,8.6,26.5,32.3
