YEAR,TEAM,REB,AST,TOV,STL,BLK,plus/minus,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK
2021,Atlanta Hawks,42.4,20.2,12.4,6.7,4.4,-1.5,45.7,22.9,12.8,7.7,4.3
2021,Boston Celtics,41.4,21,13,6.4,7,-11.2,41.6,24,11.4,7.2,6.6
2021,Brooklyn Nets,42.6,22.6,11.6,7.1,4.8,6.3,45.1,19.3,12.9,6.5,6.2
2021,Dallas Mavericks,40.6,20.7,11,5.6,2.1,-5.1,42,22.6,11,6.9,5
2021,Denver Nuggets,43.6,24.9,11.2,6.1,4.3,-5.5,43.2,23.8,11.5,5.8,4.9
2021,LA Clippers,41.2,20.8,10.7,6.8,4.3,4.1,41.8,20.5,11.7,5.3,2.7
2021,Los Angeles Lakers,43.2,19.3,13.8,6.7,4,-6.5,41.8,24.3,12.5,7.2,5
2021,Memphis Grizzlies,41.2,22,10.4,8,4,-8.4,45.6,23,13.6,5.2,6.2
2021,Miami Heat,42.3,21.5,14,7.3,3.5,-20.5,59,26.8,15,7.5,3
2021,Milwaukee Bucks,49,22.8,12.7,7.8,4.2,5.1,41.4,20.9,13.2,7.3,3.8
2021,New York Knicks,46.4,18.6,12.2,5.8,2.8,-7,44.2,20.6,10.8,4.8,6.8
2021,Philadelphia 76ers,44.7,24.9,12.8,8,6.2,7.5,42.8,20.8,12.5,6,3.8
2021,Phoenix Suns,42.7,23.2,11.9,6.5,4.2,4.5,43.6,20.9,11.8,6.6,3.6
2021,Portland Trail Blazers,41.7,22.8,11.8,5.2,5.5,-1.3,44.3,26,11.2,6.2,4.5
2021,Utah Jazz,42.4,19.6,13.5,5.2,4.1,-0.8,40.2,21.4,10.5,7.9,4.3
2021,Washington Wizards,43.4,22.4,13.4,4.8,4.8,-14,44.8,26.6,11.8,8.6,7.2
2020,Boston Celtics,45.2,22.6,13.9,6.7,4.8,5,41.8,22.2,12.6,6.5,4.8
2020,Brooklyn Nets,44.3,25.8,14.5,5,4.5,-20.5,51,30.5,12,7,5.5
2020,Dallas Mavericks,43.2,21.5,12.7,6.5,3.7,-9.7,46.3,21.2,12,7.2,3.3
2020,Denver Nuggets,40.6,22.5,13.9,6.2,4,-2.3,40.5,22.5,13.6,7.5,4
